Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
Not Easily Broken;0;1;0;0;1;1;0;0;0;0;0;0;0;19;1
New Years Eve;1;0;0;0;0;0;0;0;0;0;0;0;0;20;0
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;1
The Fallout;0;0;0;0;1;0;0;0;0;0;0;0;0;32;1
Avatar;0;0;1;1;0;0;0;0;0;0;0;0;0;33;0
Anora;0;1;0;0;1;1;0;0;0;0;0;0;0;54;0
Toy Story;0;0;0;0;0;0;0;1;1;0;0;0;0;55;1
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1
Spring Breakers;0;1;0;0;1;0;0;0;0;0;0;0;0;58;1
