Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;1
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0
Skyfall;0;0;0;0;0;0;0;0;0;1;1;0;0;42;0
Spider-Man 2;0;0;0;0;0;0;0;0;0;1;0;0;0;43;0
Casablanca;0;0;0;0;1;1;0;0;0;0;0;0;0;49;1
No Country for Old Men;0;0;0;0;1;0;0;0;0;1;1;0;0;50;0
I Care a Lot;0;1;0;0;0;0;0;0;0;0;1;0;0;51;0
Ratatouille;0;1;0;0;0;0;0;1;0;0;0;0;0;52;0
The Dark Knight;0;0;0;0;0;0;0;0;0;0;1;0;1;53;0
