Movie; Romance; Comedy; Science; Fiction; Drama; Romantic; Fantacy; Animation;  Adventure;  Action; Thriller;  Erotic;  Crime; index; rating_user1; rating_user2
Tyler Perry's Why Did I get Married;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Twilight: Breaking Dawn;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Twilight;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
The Ugly Truth;0;0;1;1;1;0;0;0;0;0;0;0;0;3;0;0
The Time Traveler's Wife;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;1
The Proposal;0;1;0;0;0;1;0;0;0;0;0;0;0;5;0;1
The Invention of Lying;0;1;0;0;0;1;0;0;0;0;0;0;0;6;0;1
The Heartbreak Kid;0;1;0;0;0;1;0;0;0;0;0;0;0;7;0;1
The Duchess;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;1
The Curious Case of Benjamin Button;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0
The Back-up Plan;0;1;0;0;0;1;0;0;0;0;0;0;0;10;0;1
Tangled;0;0;0;0;0;0;1;1;0;0;0;0;0;11;1;1
Something Borrowed;0;1;0;0;0;1;0;0;0;0;0;0;0;12;0;1
She's Out of My League;0;1;0;0;0;1;0;0;0;0;0;0;0;13;0;1
Sex and the City;0;1;0;0;0;1;0;0;0;0;0;0;0;14;0;1
Remember Me;0;0;0;0;1;1;0;0;0;0;0;0;0;15;0;0
Penelope;0;1;0;0;0;1;1;0;0;0;0;0;0;16;0;1
Over Her Dead Body;0;1;0;0;0;1;0;0;0;0;0;0;0;17;0;1
Our Family Wedding;0;1;0;0;0;1;0;0;0;0;0;0;0;18;0;1
Not Easily Broken;0;1;0;0;1;1;0;0;0;0;0;0;0;19;0;1
New Years Eve;1;0;0;0;0;0;0;0;0;0;0;0;0;20;0;1
My Week with Marilyn;0;0;0;0;1;0;0;0;0;0;0;0;0;21;0;1
Midnight in Paris;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0;1
Marley and Me;0;1;0;0;1;0;0;0;0;0;0;0;0;23;0;1
Jane Eyre;0;1;0;0;1;0;0;0;0;0;0;0;0;24;0;1
It's Complicated;0;1;0;0;0;1;0;0;0;0;0;0;0;25;0;1
Fireproof;0;0;0;0;1;0;0;0;0;0;0;0;0;26;0;0
Enchanted;0;0;0;0;0;0;0;1;1;0;0;0;0;27;1;1
Dear John;0;0;0;0;1;1;0;0;0;0;0;0;0;28;0;0
Beginners;0;1;0;0;1;1;0;0;0;0;0;0;0;29;0;1
Across the Universe;0;0;0;0;1;1;0;0;0;0;0;0;0;30;0;0
A Serious Man;0;1;0;0;1;0;0;0;0;0;0;0;0;31;0;0
The Fallout;0;0;0;0;1;0;0;0;0;0;0;0;0;32;0;0
Avatar;0;0;1;1;0;0;0;0;0;0;0;0;0;33;1;0
Spider-Man;0;0;1;1;0;0;0;0;0;1;0;0;0;34;1;0
Bad Boys for Life;0;1;0;0;0;0;0;0;0;1;0;0;0;35;1;0
Green Bones;0;0;0;0;1;0;0;0;0;0;0;0;0;36;0;0
Infinite;0;0;1;1;0;0;0;0;0;1;0;0;0;37;1;0
The Contractor;0;0;0;0;0;0;0;0;0;1;1;0;0;38;1;0
Superman Returns;0;0;1;1;0;0;0;0;0;0;0;0;0;39;1;0
Quantum of Solace;0;0;0;0;0;0;0;0;0;1;1;0;0;40;1;0
Pirates of the Caribbean;0;0;0;0;0;0;1;0;0;1;0;0;0;41;1;0
Skyfall;0;0;0;0;0;0;0;0;0;1;1;0;0;42;1;0
Spider-Man 2;0;0;0;0;0;0;0;0;0;1;0;0;0;43;1;0
Iron Man 3;0;0;1;1;0;0;0;0;0;1;0;0;0;44;1;0
Alice in Wonderland;0;0;0;0;0;0;1;0;1;0;0;0;0;45;1;1
X-Men;0;0;1;1;0;0;0;0;0;1;0;0;0;46;1;0
Babygirl;0;0;0;0;0;0;0;0;0;0;1;1;0;47;0;0
Forrest Gump;1;1;0;0;1;0;0;0;0;0;0;0;0;48;1;1
Casablanca;0;0;0;0;1;1;0;0;0;0;0;0;0;49;0;1
No Country for Old Men;0;0;0;0;1;0;0;0;0;1;1;0;0;50;0;0
I Care a Lot;0;1;0;0;0;0;0;0;0;0;1;0;0;51;0;0
Ratatouille;0;1;0;0;0;0;0;1;0;0;0;0;0;52;1;1
The Dark Knight;0;0;0;0;0;0;0;0;0;0;1;0;1;53;1;0
Anora;0;1;0;0;1;1;0;0;0;0;0;0;0;54;0;1
Toy Story;0;0;0;0;0;0;0;1;1;0;0;0;0;55;1;1
Fixed;0;1;0;0;1;0;0;0;0;0;0;0;0;56;0;1
Everything Everywhere All at Once;0;1;0;0;1;0;0;0;0;0;0;0;0;57;1;1
Spring Breakers;0;1;0;0;1;0;0;0;0;0;0;0;0;58;0;0
